N,MPI_Processes,Comp_Time,Total_Time
10000000,16,0.202921,0.320375
12000000,16,0.221042,0.370560
14000000,16,0.230152,0.399998
16000000,16,0.409469,0.607723
18000000,16,0.340328,0.543646
20000000,16,0.290449,0.518507
22000000,16,0.333618,0.575093
24000000,16,0.376353,0.632041
26000000,16,0.425458,0.694454
28000000,16,0.482162,0.747016
30000000,16,0.542576,0.833745
32000000,16,0.583329,1.117594
34000000,16,0.618750,0.987880
36000000,16,0.671507,1.019645
38000000,16,0.727567,1.080409
40000000,16,1.118987,1.554668
42000000,16,0.841525,1.270133
44000000,16,0.894855,1.308924
46000000,16,0.982199,1.409696
48000000,16,1.411233,1.924521
50000000,16,1.073502,1.577289
52000000,16,1.138137,1.651351
54000000,16,1.251117,1.761457
56000000,16,1.261163,1.812157
58000000,16,1.329578,1.861030
60000000,16,1.407614,1.968900
62000000,16,1.461942,2.032862
64000000,16,1.583643,2.165042
66000000,16,1.603001,2.288181
68000000,16,1.661898,2.318387
