N,MPI_Processes,OpenMP_Threads,Total_Workers,Comp_Time,Total_Time
10000000,4,4,16,0.123384,0.334232
12000000,4,4,16,0.211043,0.352791
14000000,4,4,16,0.206864,0.425349
16000000,4,4,16,0.288239,0.524768
18000000,4,4,16,0.374677,0.614379
20000000,4,4,16,0.433581,0.703320
22000000,4,4,16,0.497754,0.780599
24000000,4,4,16,0.547506,0.875467
26000000,4,4,16,0.425103,0.755199
28000000,4,4,16,0.546281,0.881120
30000000,4,4,16,0.672442,0.991445
32000000,4,4,16,0.843043,1.157072
34000000,4,4,16,0.925983,1.311771
36000000,4,4,16,0.987072,1.419523
38000000,4,4,16,1.076636,1.465403
40000000,4,4,16,0.985611,1.540358
42000000,4,4,16,1.056490,1.620102
44000000,4,4,16,1.087615,1.793233
46000000,4,4,16,1.213496,1.734911
48000000,4,4,16,1.094507,1.805485
50000000,4,4,16,1.157305,1.861096
52000000,4,4,16,1.041917,2.142178
54000000,4,4,16,1.012506,2.355346
56000000,4,4,16,1.138409,2.290084
58000000,4,4,16,1.541696,2.412114
60000000,4,4,16,1.372651,2.509150
62000000,4,4,16,1.446768,2.950837
64000000,4,4,16,1.794824,2.949571
66000000,4,4,16,2.057531,4.081701
68000000,4,4,16,2.464801,4.133020
