N,MPI_Processes,OpenMP_Threads,Total_Workers,Comp_Time,Comm_Time,Serial_Time,Total_Time
10000000,4,4,16,0.198026,0.094586,0.094586,0.292612
12000000,4,4,16,0.236952,0.103557,0.103557,0.340509
14000000,4,4,16,0.309722,0.116453,0.116453,0.426176
16000000,4,4,16,0.335905,0.129658,0.129658,0.465563
18000000,4,4,16,0.435226,0.146341,0.146341,0.581567
20000000,4,4,16,0.503279,0.157484,0.157484,0.660763
22000000,4,4,16,0.569121,0.166390,0.166390,0.735512
24000000,4,4,16,0.591133,0.189771,0.189771,0.780904
26000000,4,4,16,0.542495,0.202353,0.202353,0.744848
28000000,4,4,16,0.722975,0.211749,0.211749,0.934724
30000000,4,4,16,0.843890,0.247780,0.247780,1.091670
32000000,4,4,16,0.960988,0.255638,0.255638,1.216626
34000000,4,4,16,1.071058,0.260404,0.260404,1.331462
36000000,4,4,16,1.170046,0.306301,0.306301,1.476347
38000000,4,4,16,1.250744,0.282469,0.282469,1.533213
40000000,4,4,16,1.251564,0.286803,0.286803,1.538367
42000000,4,4,16,1.361740,0.320926,0.320926,1.682666
44000000,4,4,16,1.371608,0.343069,0.343069,1.714677
46000000,4,4,16,1.576353,0.402466,0.402466,1.978819
48000000,4,4,16,1.393317,0.387852,0.387852,1.781169
50000000,4,4,16,1.617384,0.390569,0.390569,2.007953
52000000,4,4,16,1.819528,0.374232,0.374232,2.193760
54000000,4,4,16,1.807995,0.506394,0.506394,2.314389
56000000,4,4,16,1.923177,0.423550,0.423550,2.346727
58000000,4,4,16,1.707884,0.418270,0.418270,2.126154
60000000,4,4,16,2.031468,0.438032,0.438032,2.469500
62000000,4,4,16,2.158237,0.440880,0.440880,2.599117
64000000,4,4,16,2.254656,0.469646,0.469646,2.724302
66000000,4,4,16,3.154396,0.459907,0.459907,3.614303
68000000,4,4,16,3.190048,0.625422,0.625422,3.815470
