Processes,T_parallel,T_serial,T_total,s,p,Theoretical_Speedup
1,8.233146,0.220867,8.454012,0.026126,0.973874,1.000000
2,5.199201,0.244374,5.443575,0.044892,0.955108,1.914073
4,2.075757,0.245285,2.321042,0.105679,0.894321,3.037122
6,1.384557,0.257753,1.642311,0.156946,0.843054,3.361857
8,1.034281,0.264014,1.298296,0.203355,0.796645,3.301036
10,0.826594,0.265731,1.092324,0.243271,0.756729,3.135349
12,0.692763,0.266412,0.959175,0.277751,0.722249,2.959118
14,0.601117,0.269738,0.870854,0.309739,0.690261,2.785178
16,0.517088,0.287854,0.804942,0.357608,0.642392,2.514094
18,0.461475,0.285560,0.747035,0.382258,0.617742,2.400515
20,0.415018,0.273268,0.688286,0.397027,0.602973,2.340958
22,0.444653,0.272009,0.716662,0.379551,0.620449,2.452466
24,0.347602,0.280466,0.628068,0.446554,0.553446,2.129408
